t,Ekin,Epot,Etot
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0001666667,0.0000000000,0.0000000000,0.0000000000
0.0003333333,0.0000000000,0.0000000000,0.0000000000
0.0005000000,0.0000000001,0.0000000001,0.0000000002
0.0006666667,0.0000000003,0.0000000002,0.0000000006
0.0008333333,0.0000000006,0.0000000005,0.0000000011
0.0010000000,0.0000000010,0.0000000009,0.0000000019
0.0011666667,0.0000000015,0.0000000014,0.0000000029
0.0013333333,0.0000000022,0.0000000021,0.0000000043
0.0015000000,0.0000000031,0.0000000030,0.0000000061
0.0016666667,0.0000000043,0.0000000042,0.0000000085
0.0018333333,0.0000000057,0.0000000056,0.0000000113
0.0020000000,0.0000000074,0.0000000073,0.0000000147
0.0021666667,0.0000000094,0.0000000092,0.0000000186
0.0023333333,0.0000000117,0.0000000114,0.0000000231
0.0025000000,0.0000000144,0.0000000141,0.0000000285
0.0026666667,0.0000000174,0.0000000172,0.0000000346
0.0028333333,0.0000000209,0.0000000207,0.0000000416
0.0030000000,0.0000000248,0.0000000246,0.0000000493
0.0031666667,0.0000000291,0.0000000288,0.0000000579
0.0033333333,0.0000000339,0.0000000336,0.0000000675
0.0035000000,0.0000000392,0.0000000389,0.0000000781
0.0036666667,0.0000000451,0.0000000448,0.0000000899
0.0038333333,0.0000000515,0.0000000513,0.0000001028
0.0040000000,0.0000000585,0.0000000582,0.0000001167
0.0041666667,0.0000000660,0.0000000657,0.0000001318
0.0043333333,0.0000000743,0.0000000738,0.0000001481
0.0045000000,0.0000000831,0.0000000827,0.0000001658
0.0046666667,0.0000000927,0.0000000923,0.0000001850
0.0048333333,0.0000001029,0.0000001027,0.0000002056
0.0050000000,0.0000001139,0.0000001136,0.0000002275
0.0051666667,0.0000001256,0.0000001252,0.0000002508
0.0053333333,0.0000001381,0.0000001376,0.0000002756
0.0055000000,0.0000001514,0.0000001509,0.0000003022
0.0056666667,0.0000001655,0.0000001651,0.0000003305
0.0058333333,0.0000001804,0.0000001801,0.0000003605
0.0060000000,0.0000001962,0.0000001959,0.0000003921
0.0061666667,0.0000002129,0.0000002125,0.0000004254
0.0063333333,0.0000002306,0.0000002300,0.0000004606
0.0065000000,0.0000002491,0.0000002486,0.0000004977
0.0066666667,0.0000002687,0.0000002682,0.0000005369
0.0068333333,0.0000002892,0.0000002888,0.0000005780
0.0070000000,0.0000003107,0.0000003103,0.0000006210
0.0071666667,0.0000003333,0.0000003327,0.0000006660
0.0073333333,0.0000003569,0.0000003562,0.0000007131
0.0075000000,0.0000003816,0.0000003809,0.0000007625
0.0076666667,0.0000004074,0.0000004068,0.0000008142
0.0078333333,0.0000004343,0.0000004338,0.0000008681
0.0080000000,0.0000004623,0.0000004619,0.0000009242
0.0081666667,0.0000004916,0.0000004909,0.0000009825
0.0083333333,0.0000005220,0.0000005212,0.0000010432
0.0085000000,0.0000005536,0.0000005529,0.0000011065
0.0086666667,0.0000005865,0.0000005859,0.0000011723
0.0088333333,0.0000006206,0.0000006201,0.0000012407
0.0090000000,0.0000006560,0.0000006554,0.0000013114
0.0091666667,0.0000006927,0.0000006920,0.0000013847
0.0093333333,0.0000007307,0.0000007299,0.0000014606
0.0095000000,0.0000007700,0.0000007693,0.0000015393
0.0096666667,0.0000008108,0.0000008101,0.0000016209
0.0098333333,0.0000008529,0.0000008523,0.0000017052
0.0100000000,0.0000008963,0.0000008958,0.0000017921
0.0101666667,0.0000009412,0.0000009406,0.0000018818
0.0103333333,0.0000009875,0.0000009869,0.0000019745
0.0105000000,0.0000010352,0.0000010350,0.0000020702
0.0106666667,0.0000010842,0.0000010848,0.0000021690
0.0108333333,0.0000011346,0.0000011362,0.0000022707
0.0110000000,0.0000011862,0.0000011892,0.0000023754
0.0111666667,0.0000012390,0.0000012440,0.0000024830
0.0113333333,0.0000012930,0.0000013008,0.0000025938
0.0115000000,0.0000013483,0.0000013597,0.0000027080
0.0116666667,0.0000014046,0.0000014208,0.0000028254
0.0118333333,0.0000014621,0.0000014840,0.0000029461
0.0120000000,0.0000015207,0.0000015492,0.0000030699
0.0121666667,0.0000015803,0.0000016165,0.0000031968
0.0123333333,0.0000016410,0.0000016862,0.0000033272
0.0125000000,0.0000017026,0.0000017585,0.0000034611
0.0126666667,0.0000017652,0.0000018334,0.0000035986
0.0128333333,0.0000018287,0.0000019108,0.0000037396
0.0130000000,0.0000018931,0.0000019906,0.0000038838
0.0131666667,0.0000019584,0.0000020730,0.0000040314
0.0133333333,0.0000020246,0.0000021581,0.0000041827
0.0135000000,0.0000020915,0.0000022462,0.0000043377
0.0136666667,0.0000021592,0.0000023374,0.0000044965
0.0138333333,0.0000022276,0.0000024314,0.0000046589
0.0140000000,0.0000022967,0.0000025282,0.0000048249
0.0141666667,0.0000023665,0.0000026279,0.0000049944
0.0143333333,0.0000024370,0.0000027308,0.0000051678
0.0145000000,0.0000025080,0.0000028371,0.0000053451
0.0146666667,0.0000025797,0.0000029468,0.0000055265
0.0148333333,0.0000026519,0.0000030597,0.0000057116
0.0150000000,0.0000027246,0.0000031759,0.0000059004
0.0151666667,0.0000027978,0.0000032953,0.0000060930
0.0153333333,0.0000028714,0.0000034182,0.0000062897
0.0155000000,0.0000029455,0.0000035449,0.0000064904
0.0156666667,0.0000030200,0.0000036754,0.0000066954
0.0158333333,0.0000030948,0.0000038095,0.0000069043
0.0160000000,0.0000031700,0.0000039471,0.0000071171
0.0161666667,0.0000032455,0.0000040884,0.0000073339
